q,K,path,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
24,4,2012,0,725,916,0,61,44,29,21,14,9,5,3,2,1,68,60,43,30,20,13,7,4,3,2,1
24,4,2012,1,725,882,0,61,44,29,21,14,9,5,3,2,1,63,68,42,26,17,12,7,4,3,2,1
24,4,2012,2,725,950,0,61,44,29,21,14,9,5,3,2,1,60,63,45,30,20,11,8,5,2,1,1
24,4,2020,0,744,838,0,61,48,33,24,14,9,6,3,1,1,66,69,47,31,20,11,7,4,2,1,0
24,4,2020,1,744,869,0,61,48,33,24,14,9,6,3,1,1,66,66,42,30,21,13,8,4,1,1,1
24,4,2020,2,744,931,0,61,48,33,24,14,9,6,3,1,1,69,66,51,31,18,11,6,4,3,1,1
24,4,2021,0,684,824,0,67,46,29,18,13,10,5,3,2,1,66,62,41,28,18,11,7,3,2,1,1
24,4,2021,1,684,826,0,67,46,29,18,13,10,5,3,2,1,66,66,43,24,16,13,9,4,2,1,0
24,4,2021,2,684,773,0,67,46,29,18,13,10,5,3,2,1,62,66,43,29,18,10,5,4,2,1,0
24,4,2022,0,682,778,0,59,45,34,22,14,7,5,3,2,1,67,66,46,27,14,10,7,5,2,0,0
24,4,2022,1,682,828,0,59,45,34,22,14,7,5,3,2,1,59,67,43,29,21,11,5,4,2,1,1
24,4,2022,2,682,798,0,59,45,34,22,14,7,5,3,2,1,66,59,44,32,19,11,6,2,2,2,0
24,4,2100,0,707,814,0,61,47,32,19,13,9,7,3,2,1,63,66,44,31,17,9,7,5,2,1,0
24,4,2100,1,707,868,0,61,47,32,19,13,9,7,3,2,1,65,63,44,27,20,13,9,4,1,1,1
24,4,2100,2,707,796,0,61,47,32,19,13,9,7,3,2,1,66,65,45,28,17,13,6,4,3,1,0
24,4,2101,0,725,822,0,60,48,34,22,14,9,5,5,2,0,69,65,50,31,18,10,6,4,2,1,0
24,4,2101,1,725,842,0,60,48,34,22,14,9,5,5,2,0,65,69,46,31,19,12,7,4,2,0,0
24,4,2101,2,725,871,0,60,48,34,22,14,9,5,5,2,0,65,65,43,29,20,13,8,4,3,1,0
24,4,2102,0,696,849,0,65,45,29,22,14,8,3,2,2,2,63,64,42,29,20,12,6,4,3,1,0
24,4,2102,1,696,838,0,65,45,29,22,14,8,3,2,2,2,66,63,43,28,15,9,6,4,2,2,2
24,4,2102,2,696,861,0,65,45,29,22,14,8,3,2,2,2,64,66,43,26,19,11,6,2,2,2,1
24,4,2110,0,748,952,0,64,48,34,21,12,7,6,5,4,1,68,65,46,31,18,13,9,6,4,2,0
24,4,2110,1,748,870,0,64,48,34,21,12,7,6,5,4,1,69,68,48,30,17,10,7,6,3,1,0
24,4,2110,2,748,925,0,64,48,34,21,12,7,6,5,4,1,65,69,44,29,21,12,7,4,3,2,1
24,4,2111,0,745,959,0,63,46,29,22,17,10,6,4,1,1,66,67,46,31,23,14,7,4,2,1,1
24,4,2111,1,745,871,0,63,46,29,22,17,10,6,4,1,1,67,66,44,31,21,14,7,3,2,1,0
24,4,2111,2,745,933,0,63,46,29,22,17,10,6,4,1,1,67,67,47,29,18,12,9,6,3,1,1
24,4,2112,0,753,920,0,59,47,32,21,14,11,6,2,1,1,65,64,45,31,18,11,7,4,2,1,1
24,4,2112,1,753,943,0,59,47,32,21,14,11,6,2,1,1,67,65,45,27,20,12,9,5,2,1,1
24,4,2112,2,753,923,0,59,47,32,21,14,11,6,2,1,1,64,67,47,32,20,14,7,3,2,2,1
24,4,2120,0,651,822,0,64,46,30,18,13,8,6,4,2,0,64,65,45,25,18,11,6,4,3,1,0
24,4,2120,1,651,814,0,64,46,30,18,13,8,6,4,2,0,62,64,42,28,17,12,7,4,2,1,0
24,4,2120,2,651,735,0,64,46,30,18,13,8,6,4,2,0,65,62,40,28,16,10,7,4,1,0,0
24,4,2121,0,732,879,0,57,48,32,22,14,9,4,2,2,2,61,66,46,29,18,11,6,4,3,2,1
