q,K,digit,G,G2,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
26,4,1,1716,1929,0,101,76,49,33,22,18,12,5,4,2,0,113,113,86,50,33,23,14,11,6,4
26,4,2,1716,1822,0,101,76,49,33,22,18,12,5,4,2,0,113,100,73,47,33,23,18,9,5,2
26,4,0,1762,1834,0,98,72,49,39,27,15,10,5,3,3,0,116,103,73,47,34,23,14,8,5,3
26,4,1,1762,1883,0,98,72,49,39,27,15,10,5,3,3,0,103,106,74,56,34,20,14,10,5,3
26,4,2,1762,1882,0,98,72,49,39,27,15,10,5,3,3,0,106,116,80,52,38,24,12,7,5,4
26,4,0,1758,1790,0,96,77,55,36,24,14,7,7,5,4,0,110,108,76,52,33,23,12,6,6,4
26,4,1,1758,1801,0,96,77,55,36,24,14,7,7,5,4,0,108,109,75,51,36,22,12,9,4,3
26,4,2,1758,1812,0,96,77,55,36,24,14,7,7,5,4,0,109,110,80,51,30,18,15,10,8,4
26,4,0,1840,1946,0,100,75,50,33,23,15,10,9,7,3,0,108,109,74,51,35,21,13,10,8,6
26,4,1,1840,1956,0,100,75,50,33,23,15,10,9,7,3,0,109,111,77,49,34,26,14,12,8,3
26,4,2,1840,1960,0,100,75,50,33,23,15,10,9,7,3,0,111,108,77,53,34,23,20,10,6,4
26,4,0,1787,1890,0,101,76,51,35,22,17,11,7,5,2,0,112,114,77,49,36,24,15,8,5,2
26,4,1,1787,1847,0,101,76,51,35,22,17,11,7,5,2,0,114,104,76,49,32,20,17,12,5,3
26,4,2,1787,1890,0,101,76,51,35,22,17,11,7,5,2,0,104,112,76,55,34,23,13,8,7,5
26,4,0,1813,1874,0,100,74,54,35,25,17,12,7,3,3,0,110,111,74,53,32,24,17,9,5,2
26,4,1,1813,1886,0,100,74,54,35,25,17,12,7,3,3,0,111,112,79,56,37,25,15,8,3,3
26,4,2,1813,1891,0,100,74,54,35,25,17,12,7,3,3,0,112,110,80,50,36,21,13,11,8,4
26,4,0,1845,1951,0,104,80,55,35,22,17,11,6,5,4,0,117,111,79,54,35,21,15,12,7,5
26,4,1,1845,1880,0,104,80,55,35,22,17,11,6,5,4,0,111,114,79,51,34,23,15,8,7,3
26,4,2,1845,1940,0,104,80,55,35,22,17,11,6,5,4,0,114,117,80,53,34,24,16,9,4,4
26,4,0,1843,1941,0,103,75,52,35,25,18,12,8,4,2,0,115,112,83,56,36,23,15,10,6,3
26,4,1,1843,1914,0,103,75,52,35,25,18,12,8,4,2,0,112,110,73,51,37,24,15,10,7,3
26,4,2,1843,1882,0,103,75,52,35,25,18,12,8,4,2,0,110,115,78,52,34,25,17,9,4,3
26,4,0,1861,1993,0,103,76,52,36,24,16,12,9,5,2,0,109,115,81,55,37,23,16,9,5,3
26,4,1,1861,1894,0,103,76,52,36,24,16,12,9,5,2,0,115,114,77,50,33,23,15,11,7,4
26,4,2,1861,1959,0,103,76,52,36,24,16,12,9,5,2,0,114,109,77,54,37,25,16,11,7,3
26,4,0,2071,2280,0,102,76,52,33,27,18,11,8,5,5,0,117,116,84,56,37,27,19,11,6,5
26,4,1,2071,2239,0,102,76,52,33,27,18,11,8,5,5,0,116,111,81,55,39,25,16,14,10,6
26,4,2,2071,2304,0,102,76,52,33,27,18,11,8,5,5,0,111,117,77,55,38,29,19,11,9,6
26,4,0,2009,2200,0,103,79,48,35,22,16,13,10,7,3,0,112,115,79,57,39,27,20,12,8,4
26,4,1,2009,2240,0,103,79,48,35,22,16,13,10,7,3,0,115,114,81,52,38,23,16,12,8,6
